Time,tempo, Perror, Wtx, Tout, erro e total, reenvios, Tout total
13237,201, 0.8,3,5,104,109,109
21233,495, 0.9,3,5,269,271,271
24,5, 0.0,4,5,0,1,1
197,5, 0.1,4,5,1,3,3
663,15, 0.2,4,5,3,9,9
1374,20, 0.3,4,5,9,13,13
2396,85, 0.4,4,5,35,53,53
3812,65, 0.5,4,5,34,49,49
5792,65, 0.6,4,5,44,49,49
8692,101, 0.7,4,5,63,68,68
13786,235, 0.8,4,5,141,159,159
22518,350, 0.9,4,5,186,186,186
34,10, 0.0,5,5,0,7,7
223,15, 0.1,5,5,9,15,15
713,15, 0.2,5,5,6,12,12
1444,30, 0.3,5,5,14,20,20
2559,40, 0.4,5,5,23,38,38
3971,50, 0.5,5,5,29,38,38
6038,80, 0.6,5,5,54,67,67
9009,180, 0.7,5,5,116,134,134
14378,205, 0.8,5,5,155,170,170
23368,410, 0.9,5,5,325,339,339
52,0, 0.0,6,5,0,0,0
255,0, 0.1,6,5,0,0,0
763,30, 0.2,6,5,15,31,31
1520,10, 0.3,6,5,4,7,7
2679,15, 0.4,6,5,6,11,11
4154,25, 0.5,6,5,16,23,23
6255,30, 0.6,6,5,26,32,32
9426,81, 0.7,6,5,68,79,79
14951,195, 0.8,6,5,164,177,177
24386,340, 0.9,6,5,308,320,320
57,0, 0.0,7,5,0,0,0
283,15, 0.1,7,5,2,11,11
831,20, 0.2,7,5,12,25,25
1578,20, 0.3,7,5,10,15,15
2766,30, 0.4,7,5,19,29,29
4283,25, 0.5,7,5,24,32,32
6455,90, 0.6,7,5,79,104,104
9690,95, 0.7,7,5,103,125,125
15536,275, 0.8,7,5,203,233,233
25452,400, 0.9,7,5,457,490,490
59,15, 0.0,8,5,0,18,18
311,15, 0.1,8,5,4,20,20
902,50, 0.2,8,5,20,55,55
1670,30, 0.3,8,5,17,34,34
2879,35, 0.4,8,5,27,39,39
4409,50, 0.5,8,5,45,58,58
6664,55, 0.6,8,5,44,56,56
10038,110, 0.7,8,5,106,128,128
16249,120, 0.8,8,5,136,151,151
26560,370, 0.9,8,5,476,504,504
76,0, 0.0,9,5,0,0,0
345,15, 0.1,9,5,5,9,9
986,21, 0.2,9,5,12,22,22
1756,10, 0.3,9,5,3,18,18
2995,40, 0.4,9,5,31,52,52
4562,35, 0.5,9,5,31,46,46
6879,60, 0.6,9,5,57,75,75
10325,95, 0.7,9,5,89,117,117
16776,135, 0.8,9,5,174,199,199
27774,345, 0.9,9,5,505,548,548
84,0, 0.0,10,5,0,0,0
394,10, 0.1,10,5,6,13,13
1026,15, 0.2,10,5,9,25,25
1809,10, 0.3,10,5,2,3,3
3102,16, 0.4,10,5,9,26,26
4707,55, 0.5,10,5,41,63,63
7055,80, 0.6,10,5,88,118,118
10648,110, 0.7,10,5,114,136,136
17169,105, 0.8,10,5,152,173,173
29023,600, 0.9,10,5,476,511,511
29623,,,,,,,
 ,,,,,,,
