783;Concepts ICT Holding B.V.;3;
792;Amsio B.V.;1;
793;NovoServe B.V.;5;
798;SOLCON;5;
801;InterBox Internet;4;
805;NedZone Internet BV;4;
810;Uniserver Internet BV;4;
823;TeleData GmbH;5;
827;MuntInternet;1;
951;Telegraaf Media ICT BV.;2;
959;Seeweb;6;
981;OpenCarrier eG;9;
997;Vodafone Kabel Deutschland GmbH;10;
1007;myLoc managed IT AG;10;
1067;Computerline Group;7;
1098;MESH GmbH;4;
1124;RTLNederland Interactief B.V;6;
1125;HeLi NET Telekommunikation;4;
1158;Quasi Networks LTD;1;
1197;A1 Telekom Austria AG;5;
1201;equada network GmbH;4;
1204;Telia Lietuva, AB;9;
1213;Fusionstorm;1;
1218;We Dare;1;
1223;STRATO AG;10;
1240;Plus.line AG;3;
1241;Euronet Communications B.V.;4;
1250;Phibee Telecom;7;
1251;CBizz B.V.;3;
1255;Sewan Communications;4;
1258;Net By Net Holding, LLC;20;
1355;M-net Telekommunikations GmbH;6;
1357;IDKOM Networks GmbH;10;
1363;Anders Telecom;3;
1366;Ericsson Broadcast Services Netherlands;3;
1367;Turk Telekom;3;
1369;Duocast BV;2;
1371;Dial Telecom;7;
1373;Caveo Internet BV;1;
1377;Edutel;2;
1378;TransIP BV;4;
1420;Computel Standby BV;2;
1422;Lynk Networks;2;
1461;RBNET;2;
1479;Zayo France;16;
1496;in2ip;2;
1497;NPO (Nederlandse Publieke Omroep);4;
1498;Previder BV;11;
1502;Scarlet Telecom B.V.;2;
1507;UNET BV;4;
1509;SIDN - Stichting Internet Domeinregistratie Nederland;3;
1512;RoutIT B.V.;3;
1513;Sarenet, S.A.;4;
1538;NetAssist;10;
1565;HL komm;6;
1610;Prometey LLC;7;
1614;SIL Citycable;5;
1625;IPHH Internet Port Hamburg GmbH;7;
1660;LINKEY;4;
1665;ASGCNET;2;
1724;FIORD;12;
1728;ETT;4;
202;METANET AG;2;
232;green.ch AG;3;
772;Open Systems AG;2;
780;V-Com Openpath;2;
812;BIT/FOITT;3;
1557;Equinix Connect - GV Metro;4;
435;Verizon - Asia-Pac;9;
504;Level 3 AS 3356;8;
825;M-ROOT DNS Server;14;
868;Hypermedia Systems;1;
1082;SNI;4;
1562;NetIRD Inc.;5;
1571;Community Network Center Inc. (CNCI);9;
1574;Energia Communications, Inc.;5;
1697;NTT PC Communications (InfoSphere);4;
1717;Chubu Telecommunications Co.,Inc.;4;
75;Level 3 AS 3549;12;
115;Telefónica Germany GmbH & Co. OHG;16;
203;rh-tec Business GmbH;1;
250;NETHINKS;1;
269;Netzquadrat GmbH;2;
273;NASK;4;
278;ratiokontakt GmbH;2;
279;DFN Deutsches Forschungsnetz e.V.;4;
347;NetUSE AG;3;
358;MAnet GmbH;1;
468;Individual Network Berlin e.V.;16;
479;freenet Cityline GmbH;2;
590;QSC AG Niederlassung Nuernberg;3;
599;domainfactory GmbH;3;
617;regio[.NET];6;
635;Probe Networks;2;
781;toplink GmbH;2;
785;Softnet;7;
891;Cablesurf;2;
914;QSC AG;8;
947;DE-CIX Frankfurt Route Servers;3;
965;NETPLANET GmbH;2;
1004;HOSTWAY Deutschland GmbH;1;
1138;DNS:NET Internet Service GmbH;2;
1159;FreiNet GmbH;1;
1170;BelWue;5;
1186;Zattoo;5;
1189;DTS Systeme GmbH;2;
1227;Accelerated IT Services GmbH;1;
1268;MK Netzdienste GmbH & Co. KG;3;
1354;ecotel communication ag;2;
1427;A1 BG EAD;3;
1443;ATMAN;4;
1467;cyberways GmbH;4;
1469;Global Access Internet Services GmbH;1;
1476;netplace Telematic GmbH;2;
1477;SpaceNet AG;4;
1483;noris network AG;8;
1501;hotze.com GmbH;3;
1555;Equinix Connect - FR Metro;4;
1569;PIRONET NDH Datacenter AG & Co. KG;2;
1598;WideVOIP - WhichWAN / Chmurtz SaRL;9;
1624;interscholz Internet Services GmbH  & Co. KG;3;
1633;Monzoon Networks AG;2;
1635;Nauka-Svyaz LTD;5;
1641;Johannes Gutenberg-Universitaet Mainz;2;
1656;IPB Internet Provider Berlin GmbH;3;
1675;First Colo GmbH;2;
1726;Filanco AS29076;7;
953;Centauri Communications;1;
1450;MEDIA LITE SA;1;
187;BlueGIX;6;
190;wan2many;4;
320;TAS France;3;
956;Ipercast;1;
971;KHEOPS Organisation;2;
1080;Oxymium;7;
1225;TerraTransit AG;1;
1492;Magic OnLine;3;
1523;Prosodie Cap Gemini;3;
1539;Linkbynet;3;
1712;Devclic;6;
37;Mnet srl;1;
469;Telnet;3;
609;GARR;7;
645;Intercom s.r.l.;2;
1005;Panservice;3;
1324;Infracom Italia;2;
1428;Vodafone Group Services GmbH;1;
683;Broadcasting Center Europe (BCE pop in France);1;
342;LNTC;2;
600;Hudson Digital;1;
852;Pilosoft Inc.;1;
916;Equinix Connect;7;
1050;NUS Gigapop;3;
1097;TMHK;2;
1320;Digitel Philippines;2;
1398;PREGINET;1;
88;BT Ireland;2;
490;Imagine Communications Group Ltd;2;
502;INEX Route Collectors;3;
1700;HEAnet;3;
285;ACOnet;2;
573;www.funknetz.at MH GmbH;1;
975;mmc kommunikationstechnologie gmbh;1;
817;Witbe;8;
1156;Neowiz Corp.;1;
294;MDNX;1;
1102;ClearIP;2;
604;EVONET Belgium NV;1;
913;Numericable;4;
1001;Proximus;2;
722;SwissIX Route Servers;2;
1065;senseLAN;1;
1631;Netcetera AG;1;
1634;acdalis informatik;1;
1636;mhs @ internet AG;1;
1637;Nine Internet Solutions AG;2;
1638;Trenka Informatik AG;1;
1639;Antares Kommunikationstechnik AG (antanet.ch);1;
1640;IWB;1;
834;Altecom (Alta Tecnologia en Comunicacions, S.L.);3;
1616;CSUC;1;
1505;Comvive Servidores;1;
283;Novso;2;
794;i-Netboys;1;
800;NerdNet;1;
807;Mevershosting.nl;1;
1370;Technotop Internet BV;1;
1382;Reasonnet IP Networks;2;
189;Infoclip;1;
818;Lidero Network;10;
839;Bredband2;4;
849;Net at Once AB;10;
1021;Interoute Managed Services Sweden AB;2;
1023;SpaceDump IT AB;5;
1219;SpriteLink International Carrier;2;
1594;Riksnet AB (Ratt-Internet Kapacitet i Sverige AB);9;
657;NIX.CZ, z.s.p.o.;4;
1433;Casablanca INT s.r.o.;2;
1627;ha-vel internet s.r.o.;7;
1202;InterNetWire Communications GmbH;1;
1414;Bartels System GmbH;1;
1468;Transnet Internet Services GmbH;1;
1470;Cronon AG;1;
1475;ccn corporate communication networks GmbH;1;
743;NMMN New Media Markets & Networks IT-Services GmbH;2;
1393;n@work Internet Informationssysteme GmbH;2;
1333;MetaMicro Automatisering BV;1;
461;Netgroup A/S;2;
949;Comflex Networks ApS;1;
1694;Perspektiv Bredband AB;2;
454;IP Group;2;
1484;Redpill Linpro;1;
1401;InterNLnet BV;1;
941;Aixit GmbH;1;
942;AS250.net Foundation;11;
1087;Pixelpark GmbH;2;
1136;5NINES, LLC;3;
1541;Netwurx;2;
472;Speedbone GmbH;3;
668;SpeedPartner GmbH;2;
1126;comtrance GmbH;2;
1487;Clusters KG;3;
826;NTT Communications Corporation (OCN);3;
1263;Institute of Molecular and Cell Biology, Singapore;1;
1529;M1 Net Ltd;3;
442;OCCAID;5;
1430;WebCentral;4;
1438;Bulletproof Networks;4;
1448;Conexim Australia Pty Ltd;2;
1533;Inticon Pty Ltd;1;
1346;INTERNET MULTIFEED CO.;3;
878;Nebula Oy;6;
478;NODEX LTD;3;
1441;OBIT;9;
1508;MIPT-Telecom;2;
1589;SatTel Corporation, Ltd;2;
1730;Zenon N.S.P.;1;
1738;Lukoil Inform;1;
946;UberGlobal Pty Ltd;2;
494;TOP-IX Route Servers;2;
705;Neustar;1;
1141;GHOSTnet GmbH;2;
1153;INTERNET AG Global Network;1;
1193;ISPpro Internet KG;1;
1224;meerfarbig GmbH & Co. KG;1;
1341;RDNS Networks;1;
1386;WebJanssen ISP ltd @ Co KG;1;
1421;hostcamp IT-Solutions;1;
1734;Funke Internet Services;1;
1057;KTHNOC;2;
24;DSLExtreme;1;
832;MultaCOM;1;
1024;Icefrost/XHOP;1;
1035;Trit Networks;1;
1134;VPLS, Inc.;4;
1182;Corporate West (Netmagic);3;
1283;Sirius Telecom;1;
1334;Staminus Communications;1;
1338;Clarksys AS7012;1;
1716;Sudjam Networks;1;
366;Two P;1;
847;UnitedLayer LLC;1;
554;Asiakomnet Multimedia;2;
1122;NTT Communications - NTT Singapore;1;
1383;TIME DotCom Berhad;4;
1504;CS LoxInfo (IIG);2;
389;DreamHost;1;
1177;Cascade Technology Alliance;1;
1210;Atmosera;1;
673;AT&T LA - AS2688;2;
1017;NIC.BR;1;
1332;LACNIC;2;
1672;NB Telecom;3;
1287;PoP-PR - Ponto de Presen;2;
1678;IPLAN Telecomunicaciones - NSS S.A.;1;
1537;Teleservice Bredband Sk�ne AB;3;
302;MTS Allstream;1;
1690;CIFNet, Inc.;1;
1020;Maverick;1;
784;ComX Networks;1;
20;20C;2;
1458;JARING Communications Sdn Bhd;2;
1669;NAP Colombia;1;
1681;AEPROVI;2;
204;Azuria;1;
213;M6 Web;2;
322;PPR;2;
456;Ikoula;2;
1237;OXEVA;2;
1527;Optilian;2;
1534;Alionis;2;
1556;Equinix Connect - PA Metro;2;
1611;Multi-vISP / SECR;2;
1739;NETWORTH TELECOM;2;
1742;IC Telecom;1;
1630;Audatex (Switzerland) GmbH;1;
578;London Internet Exchange (LINX);2;
729;Vermont Telephone;2;
1442;Cooolbox;6;
843;B2B2C Inc;1;
1521;TiERA Broadband Operator;2;
1128;SUPINFO Global Network;1;
1503;LE FIGARO;1;
1691;CetSI;1;
1048;Savage Communications Inc.;1;
1655;kyberna AG;1;
984;Free Software Foundation, Inc.;1;
101;Itility;1;
589;iomart - Asia/Middle East;1;
243;Namecheap;1;
411;Internet Operating Services LLC;2;
712;Your.Org, Inc.;1;
1036;CBS Interactive;1;
1731;N2N Technologies;1;
30;Cambridge Bandwidth Consortium;1;
443;IRC Hispano;1;
1449;Infracom AB;1;
